Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3128909044,115,FALSE,Rx,0,7,80,0,80,0,0,1,7E,0
3128909816,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0,C3
3128911764,125,FALSE,Rx,0,6,0,0,0,5,0,71,0,0
3128912861,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0,9E
3128916793,130,FALSE,Rx,0,7,80,0,1,42,90,1,C8,0
3128918855,110,FALSE,Rx,0,5,91,0,0,2,EE,0,0,0
3128919077,115,FALSE,Rx,0,7,80,0,80,0,0,2,59,0
3128919818,120,FALSE,Rx,0,8,0,4,84,B0,0,0,1,DE
3128921757,125,FALSE,Rx,0,6,0,0,0,5,1,6C,0,0
3128922870,165,FALSE,Rx,0,8,1,F4,0,0,0,0,1,83
3128926787,130,FALSE,Rx,0,7,80,0,1,42,90,2,EF,0
3128928850,110,FALSE,Rx,0,5,91,0,0,3,F3,0,0,0
3128929072,115,FALSE,Rx,0,7,80,0,80,0,0,3,44,0
3128929821,120,FALSE,Rx,0,8,0,4,84,B0,0,0,2,F9
3128931761,125,FALSE,Rx,0,6,0,0,0,5,2,4B,0,0
3128932866,165,FALSE,Rx,0,8,1,F4,0,0,0,0,2,A4
3128936791,130,FALSE,Rx,0,7,80,0,1,43,90,3,7D,0
3128938876,110,FALSE,Rx,0,5,91,0,0,4,A0,0,0,0
3128939106,115,FALSE,Rx,0,7,80,0,80,0,0,4,17,0
3128939816,120,FALSE,Rx,0,8,0,4,84,B0,0,0,3,E4
3128941756,125,FALSE,Rx,0,6,0,0,0,5,3,56,0,0
3128942870,165,FALSE,Rx,0,8,1,F4,0,0,0,0,3,B9
3128946781,130,FALSE,Rx,0,7,80,0,1,43,90,4,2E,0
3128948889,110,FALSE,Rx,0,5,91,0,0,5,BD,0,0,0
3128949111,115,FALSE,Rx,0,7,80,0,80,0,0,5,0A,0
3128949814,120,FALSE,Rx,0,8,0,4,84,B0,0,0,4,B7
3128951770,125,FALSE,Rx,0,6,0,0,0,5,4,5,0,0
3128952858,165,FALSE,Rx,0,8,1,F4,0,0,0,0,4,EA
3128956789,130,FALSE,Rx,0,7,80,0,1,43,90,5,33,0
3128958913,110,FALSE,Rx,0,5,91,0,0,6,9A,0,0,0
3128959136,115,FALSE,Rx,0,7,80,0,80,0,0,6,2D,0
3128959823,120,FALSE,Rx,0,8,0,4,84,B0,0,0,5,AA
3128961763,125,FALSE,Rx,0,6,0,0,0,5,5,18,0,0
3128962860,165,FALSE,Rx,0,8,1,F4,0,0,0,0,5,F7
3128966784,130,FALSE,Rx,0,7,80,0,1,42,90,6,9B,0
3128968916,110,FALSE,Rx,0,5,91,0,0,7,87,0,0,0
3128969146,115,FALSE,Rx,0,7,80,0,80,0,0,7,30,0
3128969817,120,FALSE,Rx,0,8,0,4,84,B0,0,0,6,8D
3128971766,125,FALSE,Rx,0,6,0,0,0,5,6,3F,0,0
3128972862,165,FALSE,Rx,0,8,1,F4,0,0,0,0,6,D0
3128976781,130,FALSE,Rx,0,7,80,0,1,43,90,7,9,0
3128978944,110,FALSE,Rx,0,5,91,0,0,8,3C,0,0,0
3128979174,115,FALSE,Rx,0,7,80,0,80,0,0,8,8B,0
3128979413,135,FALSE,Rx,0,8,8,0,34,0,0,0,0,0
3128979823,120,FALSE,Rx,0,8,0,4,84,B0,0,0,7,90
3128981758,125,FALSE,Rx,0,6,0,0,0,5,7,22,0,0
3128982862,165,FALSE,Rx,0,8,1,F4,0,0,0,0,7,CD
3128986786,130,FALSE,Rx,0,7,80,0,1,42,90,8,3D,0
3128988949,110,FALSE,Rx,0,5,91,0,0,9,21,0,0,0
3128989171,115,FALSE,Rx,0,7,80,0,80,0,0,9,96,0
3128989820,120,FALSE,Rx,0,8,0,4,84,B0,0,0,8,2B
3128991760,125,FALSE,Rx,0,6,0,0,0,5,8,99,0,0
3128992857,165,FALSE,Rx,0,8,1,F4,0,0,0,0,8,76
3128996784,130,FALSE,Rx,0,7,80,0,1,42,90,9,20,0
3128998977,110,FALSE,Rx,0,5,91,0,0,0A,6,0,0,0
3128999200,115,FALSE,Rx,0,7,80,0,80,0,0,0A,B1,0
3128999817,120,FALSE,Rx,0,8,0,4,84,B0,0,0,9,36
3129001758,125,FALSE,Rx,0,6,0,0,0,5,9,84,0,0
3129002862,165,FALSE,Rx,0,8,1,F4,0,0,0,0,9,6B
3129006787,130,FALSE,Rx,0,7,80,0,1,42,90,0A,7,0
3129008982,110,FALSE,Rx,0,5,91,0,0,0B,1B,0,0,0
3129009204,115,FALSE,Rx,0,7,80,0,80,0,0,0B,AC,0
3129009814,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0A,11
3129011762,125,FALSE,Rx,0,6,0,0,0,5,0A,A3,0,0
3129012859,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0A,4C
3129016791,130,FALSE,Rx,0,7,80,0,1,42,90,0B,1A,0
3129019033,145,FALSE,Rx,0,8,1,0,0,0,40,0,14,0
3129019225,110,FALSE,Rx,0,5,91,0,0,0C,48,0,0,0
3129019449,115,FALSE,Rx,0,7,80,0,80,0,0,0C,FF,0
3129019834,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0B,0C
3129021762,125,FALSE,Rx,0,6,0,0,0,5,0B,BE,0,0
3129022866,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0B,51
3129026788,130,FALSE,Rx,0,7,80,0,1,42,90,0C,49,0
3129029022,110,FALSE,Rx,0,5,91,0,0,0D,55,0,0,0
3129029244,115,FALSE,Rx,0,7,80,0,80,0,0,0D,E2,0
3129029815,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0C,5F
3129031764,125,FALSE,Rx,0,6,0,0,0,5,0C,ED,0,0
3129032867,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0C,2
3129036791,130,FALSE,Rx,0,7,80,0,1,42,90,0D,54,0
3129039049,110,FALSE,Rx,0,5,91,0,0,0E,72,0,0,0
3129039270,115,FALSE,Rx,0,7,80,0,80,0,0,0E,C5,0
3129039818,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0D,42
3129041767,125,FALSE,Rx,0,6,0,0,0,5,0D,F0,0,0
3129042871,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0D,1F
3129046787,130,FALSE,Rx,0,7,80,0,1,42,90,0E,73,0
3129049052,110,FALSE,Rx,0,5,91,0,0,0F,6F,0,0,0
3129049281,115,FALSE,Rx,0,7,80,0,80,0,0,0F,D8,0
3129049814,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0E,65
3129051762,125,FALSE,Rx,0,6,0,0,0,5,0E,D7,0,0
3129052868,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0E,38
3129056791,130,FALSE,Rx,0,7,80,0,1,42,90,0F,6E,0
3129059087,110,FALSE,Rx,0,5,91,0,0,0,D4,0,0,0
3129059317,115,FALSE,Rx,0,7,80,0,80,0,0,0,63,0
3129059818,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0F,78
3129061766,125,FALSE,Rx,0,6,0,0,0,5,0F,CA,0,0
3129062863,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0F,25
3129066787,130,FALSE,Rx,0,7,80,0,1,42,90,0,D5,0
3129069083,110,FALSE,Rx,0,5,91,0,0,1,C9,0,0,0
3129069313,115,FALSE,Rx,0,7,80,0,80,0,0,1,7E,0
3129069822,120,FALSE,Rx,0,8,0,4,84,B0,0,0,0,C3
3129071763,125,FALSE,Rx,0,6,0,0,0,5,0,71,0,0
3129072860,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0,9E
3129076792,130,FALSE,Rx,0,7,80,0,1,42,90,1,C8,0
3129079026,135,FALSE,Rx,0,8,8,0,34,0,0,0,0,0
3129079218,110,FALSE,Rx,0,5,91,0,0,2,EE,0,0,0
3129079434,115,FALSE,Rx,0,7,80,0,80,0,0,2,59,0
3129079835,120,FALSE,Rx,0,8,0,4,84,B0,0,0,1,DE
3129081770,125,FALSE,Rx,0,6,0,0,0,5,1,6C,0,0
3129082873,165,FALSE,Rx,0,8,1,F4,0,0,0,0,1,83
3129086796,130,FALSE,Rx,0,7,80,0,1,42,90,2,EF,0
3129089117,110,FALSE,Rx,0,5,91,0,0,3,F3,0,0,0
3129089340,115,FALSE,Rx,0,7,80,0,80,0,0,3,44,0
3129089833,120,FALSE,Rx,0,8,0,4,84,B0,0,0,2,F9
3129091774,125,FALSE,Rx,0,6,0,0,0,5,2,4B,0,0
3129092870,165,FALSE,Rx,0,8,1,F4,0,0,0,0,2,A4
3129096802,130,FALSE,Rx,0,7,80,0,1,42,90,3,F2,0
3129099160,110,FALSE,Rx,0,5,91,0,0,4,A0,0,0,0
3129099390,115,FALSE,Rx,0,7,80,0,80,0,0,4,17,0
3129099837,120,FALSE,Rx,0,8,0,4,84,B0,0,0,3,E4
3129101770,125,FALSE,Rx,0,6,0,0,0,5,3,56,0,0
3129102875,165,FALSE,Rx,0,8,1,F4,0,0,0,0,3,B9
3129106797,130,FALSE,Rx,0,7,80,0,1,42,90,4,A1,0
3129109156,110,FALSE,Rx,0,5,91,0,0,5,BD,0,0,0
3129109378,115,FALSE,Rx,0,7,80,0,80,0,0,5,0A,0
3129109833,120,FALSE,Rx,0,8,0,4,84,B0,0,0,4,B7
3129111783,125,FALSE,Rx,0,6,0,0,0,5,4,5,0,0
3129112872,165,FALSE,Rx,0,8,1,F4,0,0,0,0,4,EA
3129116809,130,FALSE,Rx,0,7,80,0,1,42,90,5,BC,0
3129119192,110,FALSE,Rx,0,5,91,0,0,6,9A,0,0,0
3129119413,115,FALSE,Rx,0,7,80,0,80,0,0,6,2D,0
3129119837,120,FALSE,Rx,0,8,0,4,84,B0,0,0,5,AA
3129121778,125,FALSE,Rx,0,6,0,0,0,5,5,18,0,0
3129122883,165,FALSE,Rx,0,8,1,F4,0,0,0,0,5,F7
3129126805,130,FALSE,Rx,0,7,80,0,1,42,90,6,9B,0
